"Code","Full Title","Owning Faculty","Subject","Qual Type","Level","UCO Status","Points","Accreditation","UCO Webpage Status","Programme Coordinator","Launch","Active?","CMS","First Cohort Completion","Marketing Priority","CUAPRound","CUAPRound: Due Date","Compulsory Courses","Approval Status","Dom - Full Prog_2026","Int -  Full Prog_2026"
"PGDipSFI","Postgraduate Diploma in Sustainable Futures and Innovation","Arts","/sites/w-TuihonoUC/SitePages/SFI.aspx","Programme","Postgraduate","Building","120","Pending","Gathering leads","Kate Prendergast","2026C1","False","https://curriculum.canterbury.ac.nz/cms/design/program/10768/view",,"0",,,"[]","[""Needs CUAP approval"",""Faculty approved"",""Has academic approval""]",,
"BHlth","Bachelor of Health","Health",,"Programme","Undergraduate","Building","360","Accredited","Gathering leads",,"2026C1","False","https://curriculum.canterbury.ac.nz/cms/program-rules/9548/view",,"2",,,"[]","[""Fully approved""]",,
"MMktg (Online-to-campus - 60pt)","Master of Marketing","Business",,"Programme","Postgraduate","Building","180","Accredited",,"Sussie Morrish","2026C1","False","https://curriculum.canterbury.ac.nz/cms/design/program/9522/view",,"0",,,"[]","[""Fully approved""]","$14,372.00","$56,850.00"
"PGCertSFI","Postgraduate Certificate in Sustainable Futures and Innovation","Arts","/sites/w-TuihonoUC/SitePages/SFI.aspx","Programme","Postgraduate","Building","60","Pending","Gathering leads","Kate Prendergast","2026C1","False","https://curriculum.canterbury.ac.nz/cms/design/program/10765/view",,"0",,,"[]","[""Needs CUAP approval"",""Faculty approved"",""Has academic approval""]",,
"MSFI","Master of Sustainable Futures and Innovation","Arts","/sites/w-TuihonoUC/SitePages/SFI.aspx","Programme","Postgraduate","Building","180","Accredited","Gathering leads","Kate Prendergast","2026C2","True","https://curriculum.canterbury.ac.nz/cms/design/program/10419/view",,"0",,,"[]","[""Fully approved""]",,
"EDDE401-403","Learning Design Series","Education",,"Credited Short Course","Postgraduate","Delivering/BAU","20","Accredited","Gathering leads",,"2022C4","True",,,"0",,,"[]","[""Fully approved""]",,
"MSL","Master of Structured Literacy","Education",,"Programme","Postgraduate","Scoping","180","Pending","Need brief","Amy Scott",,"False",,,"0",,,"[]","[""Needs faculty approval""]",,
"MAIEd","Master of AI in Education","Education","/sites/w-TuihonoUC/SitePages/AIEd.aspx","Programme","Postgraduate","Scoping","180",,"Need brief",,"2026C3","False","https://curriculum.canterbury.ac.nz/cms/proposals/15463/view",,"1",,,"[]","[""Needs academic approval""]",,
"EMGT612","Risk Management Tools (2/3)","Engineering",,"Credited Short Course","Postgraduate","Building","5","Accredited","Gathering leads",,"2026C1","False","https://curriculum.canterbury.ac.nz/cms/design/course/10152/view",,"0",,,"[]","[""Fully approved""]",,
"BCJ","Bachelor of Criminal Justice","Law","/sites/w-TuihonoUC/SitePages/Criminal-Justice.aspx","Programme","Undergraduate","Building","360","Accredited","Gathering leads",,"2026C1","False","https://curriculum.canterbury.ac.nz/cms/design/program/65/view",,"2",,,"[]","[""Fully approved""]",,
