"UC Code","Faculty","Course Type","Course Status","Course Title","Points","Level","Accreditation","Course Coordinator","FLD Code","Programme(s)","CMS Entry","Course Outline","Elective","First Run","Dom Fees - 2026","Int Fees - 2026","SAC Funding"
"CRJU614","Law","Degree Course","Scoping","The Machinery of Justice: Systems, Structures, and Reform","15","8","Accredited",,,"PGCertCJ","https://curriculum.canterbury.ac.nz/cms/design/course/15403/view",,"[]","2027C1",,,"False"
"CRJU680","Law","Degree Course","Not started","Dissertation","60","8","Accredited",,"TBC","PGCertCJ","https://curriculum.canterbury.ac.nz/cms/design/course/2053/view",,"[]",,,,"False"
,"Health","Credited Short Course","Inactive","Understanding Child Behaviour: for Parents",,,"Not accredited",,"H2408","[]",,,"[]",,,,"False"
,"Health","Credited Short Course","Inactive","Understanding Child Behaviour: for Professionals",,,"Not accredited",,"H2409","[]",,,"[]",,,,"False"
"COMS436","Arts","Degree Course","Not started","Crisis Management in Strategic Communication","15","8","Pending",,"A2506","MStratCom","https://curriculum.canterbury.ac.nz/cms/design/course/10128/view",,"[]","2027C3",,,"False"
"COMS693","Arts","Degree Course","Not started","Strategic Communication Portfolio","45","8","Pending",,"A2507","MStratCom","https://curriculum.canterbury.ac.nz/cms/design/course/9621/view",,"[]","2027C4",,,"False"
"EMGT613","Engineering","Credited Short Course","Not started","Risk Communication and Reporting","5","8","Pending","Daniel van der Walt","B2503","[]","https://curriculum.canterbury.ac.nz/cms/design/course/10150/view",,"MEM,PGDipEM,MPM,PGDipPMgt,MSFI,PGDipSFI","2026C3","$448.00","$2,164.00","True"
,"None","Non-Credited Course","Live","Introducing UC Online: Building the future of learning together",,,"Not accredited",,"X2301","[]",,,"[]",,,,"False"
,"None","Non-Credited Course","Live","UC Online Essentials: Prestart course",,,"Not accredited",,"X2303","[]",,,"[]",,,,"False"
,"Business","Non-Credited Course","Discontinued","B2B Sales Fundamentals","0",,"Not accredited",,"X2202","[]",,,"[]","2022C4",,,"False"
"MCEN301","Engineering","Credited Short Course","Discontinued","Shifting Business to Net Zero","5","7","Accredited",,"G2201","[]","https://curriculum.canterbury.ac.nz/cms/design/course/6816/view",,"[]","2022C4",,,"False"
"HLOL401","Health","Credited Short Course","Discontinued","Understanding Child Behaviour","5","8","Not accredited",,"H2201","[]",,,"[]","2023C1",,,"False"
"ENMT665","Engineering","Credited Short Course","Inactive","Embedded Systems Software I","15",,"Accredited",,"G2408","[]","https://curriculum.canterbury.ac.nz/cms/design/course/4575/view",,"[]",,,,"False"
"ENMT672","Engineering","Credited Short Course","Inactive","Build your first board","5",,"Pending",,"G2407","[]","https://curriculum.canterbury.ac.nz/cms/design/course/4576/view",,"[]",,,,"False"
"ENFE607","Engineering","Credited Short Course","Inactive","Fire Dynamics","5","8","Pending",,"G2302","[]","https://curriculum.canterbury.ac.nz/cms/design/course/10016/view",,"[]","2026C3",,,"False"
,"None","Non-Credited Course","Discontinued","Starting a Business Over 50","0",,"Not accredited",,"X2302","[]",,,"[]","2023C4",,,"False"
"COSC446","Engineering","Degree Course","Live","Cybersecurity Fundamentals","15","8","Accredited","Ke He","G2406","PGCertCySec","https://curriculum.canterbury.ac.nz/cms/design/course/11155/view","/:b:/r/sites/w-EngMgmt/Shared%20Documents/General/Course%20Outline/COSC446%20Cybersecurity%20Fundamentals%20-%20Course%20information.pdf?csf=1&web=1&e=nXLWNH","MADS,PGDipADS,MEM,PGDipEM","2025C1","$1,247.00","$5,663.00","False"
"MBAD643","Business","Degree Course","Live","Leading Decisions and Change","10","8","Accredited","Ellie Norris","B2305","PGCertStratLdrship","https://curriculum.canterbury.ac.nz/cms/design/course/6691/view","/:b:/r/sites/w-DigiMktg/Shared%20Documents/General/Course%20Outline/MBAD643%20Leading%20decisions%20and%20change%20Course%20information.pdf?csf=1&web=1&e=ySyDIn","MSFI,PGDipSFI","2025C1","$798.00","$3,490.00","False"
"MKTG641","Business","Degree Course","Live","Digital Marketing Strategy","15","8","Accredited",,"B2404","PGCertDigiMktg","https://curriculum.canterbury.ac.nz/cms/design/course/10655/view","/:b:/r/sites/w-DigiMktg/Shared%20Documents/General/Course%20Outline/MKTG641%20Digital%20marketing%20strategy%20Course%20Outline.pdf?csf=1&web=1&e=tyciOo","[]","2025C2","$1,198.00","$4,738.00","False"
"COSC447","Engineering","Degree Course","Live","Computer Networks and Security","15","8","Accredited","Ke He","G2410","PGCertCySec","https://curriculum.canterbury.ac.nz/cms/design/course/11157/view","/:b:/r/sites/w-EngMgmt/Shared%20Documents/General/Course%20Outline/COSC447%20Computer%20Networks%20and%20Security%20-%20Course%20information.pdf?csf=1&web=1&e=mVglDO","MADS,PGDipADS,MEM,PGDipEM","2025C2","$1,247.00","$5,663.00","False"
"MKTG642","Business","Degree Course","Live","Content and Social Media Marketing","15","8","Accredited",,"B2406","PGCertDigiMktg","https://curriculum.canterbury.ac.nz/cms/design/course/10656/view","/:b:/r/sites/w-DigiMktg/Shared%20Documents/General/Course%20Outline/MKTG642%20Content%20and%20social%20media%20marketing%20Course%20information.pdf?csf=1&web=1&e=8G4vGq","[]","2025C3","$1,198.00","$4,738.00","False"
"MKTG643","Business","Degree Course","Live","Search Engine Success","15","8","Accredited",,"B2405","PGCertDigiMktg","https://curriculum.canterbury.ac.nz/cms/design/course/10657/view","/:b:/r/sites/w-DigiMktg/Shared%20Documents/General/Course%20Outline/MKTG643%20Search%20engine%20success%20Course%20information.pdf?csf=1&web=1&e=HwJecX","[]","2025C4","$1,198.00","$4,738.00","False"
"EMGT680","Engineering","Degree Course","Not started","Engineering Management Project","45","9","Accredited",,"G2414","MEM","https://curriculum.canterbury.ac.nz/cms/design/course/10518/view",,"[]","2026C4","$4,033.00","$19,463.00","False"
,"None","Accelerated Learning","Live","Leadership for Performance","0",,"Not accredited",,"B2408","[]",,"/:b:/r/sites/w-Shortcoursedevt/Shared%20Documents/General/Course%20Outline/Leadership%20for%20Performance%20Course%20Outline.pdf?csf=1&web=1&e=Z7CJff","[]","2025C1A","$395.00","$821.00","False"
"Short course","Business","Accelerated Learning","Design & build","AI for Digital Marketers","0",,"Not accredited",,"B2507","[]",,,"[]","2026C1A","$395.00","$821.00","False"
"Short courses","Business","Accelerated Learning","Design & build","Social Media Marketing Essentials","0",,"Not accredited",,"B2509","[]",,,"[]","2026C1A",,,"False"
"Short course","Business","Accelerated Learning","Design & build","SEO Essentials","0",,"Not accredited",,"B2508","[]",,,"[]","2026C1A",,,"False"
,"Professional Development","Accelerated Learning","Design & build","Applied Economics and Management for Regulated Industries","0",,"Not accredited",,"B2510","[]",,,"[]","2026C2",,,"False"
"Short course","None","Non-Credited Course","On hold","Advanced Leadership","0",,"Not accredited",,"X2509","[]",,,"[]","2026C2",,,"False"
"EDME416","Education","Degree Course","Design & build","Essentials of English Language Teaching","15","8","Accredited",,"E2506","PGCertTESOL","https://curriculum.canterbury.ac.nz/cms/design/course/11326/view",,"[]","2026C2","$1,150.00","$4,775.00","False"
"EDME426","Education","Degree Course","Not started","Effective English Language Teaching","15","8","Accredited",,"E2507","PGCertTESOL","https://curriculum.canterbury.ac.nz/cms/design/course/11322/view",,"[]","2026C3","$1,150.00","$4,775.00","False"
"PACE490","None","Degree Course","Not started","Professional and Community Engagement Internship","15","8","Accredited",,"G2512","MEM (Intl)","https://curriculum.canterbury.ac.nz/cms/design/course/11425/view",,"[]","2026C3","$1,150.00","$4,775.00","False"
"PMGT606","Engineering","Degree Course","Not started","Strategic Project Management and Business Alignment","15","8","Accredited",,"G2529","MPM,PGDipPMgt","https://curriculum.canterbury.ac.nz/cms/design/course/10008/view",,"[]","2027C1",,,"False"
"COMS437","Arts","Degree Course","Not started","Professional Pathways in Strategic Communication","15","8","Accredited",,"A2510","MStratCom","https://curriculum.canterbury.ac.nz/cms/design/course/10131/view",,"[]","2027C4",,,"False"
"ENGR400","Engineering","Degree Course","Scoping","English Language Support for International Learners","0",,"Not accredited","Lulu Barry","G2513","MEM (Intl)","https://curriculum.canterbury.ac.nz/cms/design/course/15413/view",,"[]","2026C1","$0.00","$0.00","False"
